UniProt_ID,Run_0,Run_1,Run_2,Mean_Affinity,Std_Dev,Best_Affinity,Replicates
P09661,-6.232,-6.235,-6.229,-6.23,0.002,-6.235,3
Q15054,-6.24,-6.237,-6.222,-6.23,0.008,-6.24,3
P78556,-6.231,-6.241,-6.221,-6.23,0.008,-6.241,3
Q9UJY4,-6.256,-6.183,-6.254,-6.23,0.034,-6.256,3
Q9UNM6,-6.223,-6.235,-6.225,-6.23,0.005,-6.235,3
Q7Z6J0,-6.219,-6.216,-6.246,-6.23,0.013,-6.246,3
P52789,-6.224,-6.22,-6.224,-6.22,0.002,-6.224,3
P26640,-6.216,-6.203,-6.218,-6.21,0.007,-6.218,3
Q6UXD5,-6.212,-6.212,-6.197,-6.21,0.007,-6.212,3
Q9UPR0,-6.216,-6.203,-6.21,-6.21,0.005,-6.216,3
Q9HCJ1,-6.201,-6.195,-6.193,-6.2,0.003,-6.201,3
Q8TE49,-6.203,-6.197,-6.193,-6.2,0.004,-6.203,3
Q08945,-6.097,-6.403,-6.098,-6.2,0.144,-6.403,3
Q5T6F2,-6.195,-6.196,-6.186,-6.19,0.004,-6.196,3
Q7L014,-6.626,-5.983,-5.949,-6.19,0.311,-6.626,3
Q13177,-6.332,-6.355,-5.877,-6.19,0.22,-6.355,3
Q6UW02,-6.174,-6.139,-6.23,-6.18,0.037,-6.23,3
P78371,-6.193,-6.177,-6.18,-6.18,0.007,-6.193,3
Q8NFP9,-6.183,-6.171,-6.193,-6.18,0.009,-6.193,3
P41252,-6.161,-6.188,-6.173,-6.17,0.011,-6.188,3
P98182,-6.184,-6.141,-6.179,-6.17,0.019,-6.184,3
P13639,-6.224,-6.203,-6.093,-6.17,0.057,-6.224,3
Q9NR50,-6.15,-6.187,-6.169,-6.17,0.015,-6.187,3
Q9Y2L5,-6.13,-6.181,-6.15,-6.15,0.021,-6.181,3
P30988,-6.147,-6.151,-6.15,-6.15,0.002,-6.151,3
O75445,-6.147,-6.144,-6.123,-6.14,0.011,-6.147,3
Q02790,-6.153,-6.133,-6.137,-6.14,0.009,-6.153,3
P49770,-5.931,-6.248,-6.238,-6.14,0.147,-6.248,3
Q14643,-6.113,-6.107,-6.126,-6.12,0.008,-6.126,3
Q8TAW3,-6.071,-6.155,-6.14,-6.12,0.037,-6.155,3
O95453,-6.119,-6.12,-6.129,-6.12,0.004,-6.129,3
Q9GZR1,-6.115,-6.118,-6.118,-6.12,0.001,-6.118,3
Q9BZL1,-6.104,-6.108,-6.108,-6.11,0.002,-6.108,3
O94761,-6.095,-6.11,-6.096,-6.1,0.007,-6.11,3
O60765,-6.091,-6.101,-6.116,-6.1,0.01,-6.116,3
P07098,-6.184,-6.099,-6.023,-6.1,0.066,-6.184,3
Q96CJ1,-6.097,-6.089,-6.086,-6.09,0.005,-6.097,3
O95749,-6.085,-6.064,-6.064,-6.07,0.01,-6.085,3
Q13347,-5.99,-6.094,-6.115,-6.07,0.055,-6.115,3
P49720,-6.067,-6.069,-6.042,-6.06,0.012,-6.069,3
Q8TDD1,-6.118,-6.023,-6.038,-6.06,0.042,-6.118,3
O43172,-6.119,-5.916,-6.115,-6.05,0.095,-6.119,3
O43395,-6.121,-6.024,-6.016,-6.05,0.048,-6.121,3
P28072,-6.048,-6.05,-6.028,-6.04,0.01,-6.05,3
P41227,-6.571,-5.761,-5.794,-6.04,0.374,-6.571,3
P61923,-6.038,-6.027,-6.04,-6.04,0.006,-6.04,3
P25789,-6.038,-6.041,-6.045,-6.04,0.003,-6.045,3
P38159,-6.049,-6.063,-6.023,-6.04,0.017,-6.063,3
Q99816,-6.051,-6.03,-6.013,-6.03,0.016,-6.051,3
Q9Y230,-6.029,-6.022,-6.027,-6.03,0.003,-6.029,3
O60244,-5.98,-6.049,-6.051,-6.03,0.033,-6.051,3
P36957,-6.052,-6.032,-6.017,-6.03,0.014,-6.052,3
Q99627,-6.047,-6.061,-5.975,-6.03,0.038,-6.061,3
O14862,-6.042,-6.043,-6.013,-6.03,0.014,-6.043,3
Q9UQ35,-6.016,-6.063,-6.0,-6.03,0.027,-6.063,3
Q9H211,-6.233,-6.263,-5.559,-6.02,0.325,-6.263,3
Q00610,-6.019,-6.017,-6.02,-6.02,0.001,-6.02,3
P15863,-5.997,-6.006,-6.009,-6.0,0.005,-6.009,3
Q5W5X9,-5.999,-5.984,-6.01,-6.0,0.011,-6.01,3
Q96RU7,-6.016,-5.977,-6.008,-6.0,0.017,-6.016,3
Q2NKX8,-5.997,-5.995,-6.005,-6.0,0.004,-6.005,3
P28328,-6.005,-5.991,-6.017,-6.0,0.011,-6.017,3
P43003,-6.008,-6.01,-5.974,-6.0,0.017,-6.01,3
O00470,-6.002,-5.98,-5.978,-5.99,0.011,-6.002,3
Q93063,-5.961,-5.958,-6.044,-5.99,0.04,-6.044,3
Q8N5C8,-5.962,-5.997,-5.98,-5.98,0.014,-5.997,3
P61604,-5.994,-5.972,-5.984,-5.98,0.009,-5.994,3
P84103,-5.966,-5.973,-5.98,-5.97,0.006,-5.98,3
O43670,-5.966,-5.949,-5.972,-5.96,0.01,-5.972,3
P48643,-5.958,-5.972,-5.955,-5.96,0.007,-5.972,3
O75821,-5.973,-5.939,-5.963,-5.96,0.014,-5.973,3
Q9NQU5,-5.967,-5.957,-5.962,-5.96,0.004,-5.967,3
O60506,-5.924,-5.922,-5.936,-5.93,0.006,-5.936,3
Q9BW04,-5.945,-5.912,-5.938,-5.93,0.014,-5.945,3
P62140,-5.659,-6.068,-6.066,-5.93,0.192,-6.068,3
Q8IVH8,-5.915,-5.875,-5.96,-5.92,0.035,-5.96,3
P10244,-5.915,-5.926,-5.912,-5.92,0.006,-5.926,3
Q96HR3,-6.131,-5.809,-5.78,-5.91,0.159,-6.131,3
P08571,-5.917,-5.894,-5.877,-5.9,0.016,-5.917,3
O00337,-5.884,-5.907,-5.898,-5.9,0.009,-5.907,3
O15042,-5.834,-5.93,-5.944,-5.9,0.049,-5.944,3
Q9UMS4,-5.885,-5.885,-5.885,-5.89,0.0,-5.885,3
A6NED2,-5.976,-5.993,-5.709,-5.89,0.13,-5.993,3
P22314,-5.88,-5.899,-5.901,-5.89,0.009,-5.901,3
P46781,-5.83,-5.816,-6.015,-5.89,0.091,-6.015,3
P09234,-5.921,-5.808,-5.924,-5.88,0.054,-5.924,3
P10124,-5.877,-5.873,-5.882,-5.88,0.004,-5.882,3
Q9P286,-5.898,-5.898,-5.858,-5.88,0.019,-5.898,3
Q96GQ7,-5.862,-5.852,-5.879,-5.86,0.011,-5.879,3
P40227,-5.843,-5.837,-5.86,-5.85,0.01,-5.86,3
O14976,-5.847,-5.858,-5.853,-5.85,0.004,-5.858,3
Q99578,-5.842,-5.836,-5.847,-5.84,0.004,-5.847,3
Q9Y3B4,-5.847,-5.842,-5.84,-5.84,0.003,-5.847,3
Q13200,-5.82,-5.818,-5.836,-5.82,0.008,-5.836,3
P43243,-5.812,-5.829,-5.82,-5.82,0.007,-5.829,3
P35998,-5.804,-5.819,-5.839,-5.82,0.014,-5.839,3
Q9P2B2,-5.853,-5.85,-5.74,-5.81,0.053,-5.853,3
Q96I25,-5.778,-5.823,-5.82,-5.81,0.021,-5.823,3
Q86U42,-5.814,-5.804,-5.811,-5.81,0.004,-5.814,3
Q14240,-5.8,-5.811,-5.797,-5.8,0.006,-5.811,3
P14866,-6.044,-5.661,-5.657,-5.79,0.181,-6.044,3
P52948,-5.789,-5.795,-5.791,-5.79,0.002,-5.795,3
Q8NGC6,-5.784,-5.772,-5.78,-5.78,0.005,-5.784,3
Q14213,-5.737,-5.812,-5.735,-5.76,0.036,-5.812,3
P62979,-5.818,-5.668,-5.793,-5.76,0.066,-5.818,3
P25398,-5.763,-5.839,-5.685,-5.76,0.063,-5.839,3
P48444,-5.767,-5.735,-5.746,-5.75,0.013,-5.767,3
Q9UBL3,-5.753,-5.737,-5.751,-5.75,0.007,-5.753,3
O43290,-5.776,-5.761,-5.72,-5.75,0.024,-5.776,3
P55060,-5.742,-5.745,-5.743,-5.74,0.001,-5.745,3
Q93096,-5.733,-5.743,-5.729,-5.74,0.006,-5.743,3
P18615,-5.743,-5.764,-5.723,-5.74,0.017,-5.764,3
O43164,-5.753,-5.734,-5.734,-5.74,0.009,-5.753,3
O15392,-5.732,-5.734,-5.725,-5.73,0.004,-5.734,3
Q01968,-5.725,-5.75,-5.705,-5.73,0.018,-5.75,3
Q96AE4,-5.72,-5.705,-5.715,-5.71,0.006,-5.72,3
P13500,-5.706,-5.688,-5.721,-5.71,0.013,-5.721,3
Q13765,-5.716,-5.707,-5.703,-5.71,0.005,-5.716,3
Q9Y5B0,-5.736,-5.606,-5.743,-5.7,0.063,-5.743,3
O95256,-5.684,-5.7,-5.724,-5.7,0.016,-5.724,3
Q16534,-5.695,-5.689,-5.681,-5.69,0.006,-5.695,3
Q8N5Y2,-5.698,-5.693,-5.65,-5.68,0.022,-5.698,3
P17480,-5.68,-5.703,-5.664,-5.68,0.016,-5.703,3
Q9UM63,-5.669,-5.698,-5.669,-5.68,0.014,-5.698,3
P12270,-5.669,-5.674,-5.671,-5.67,0.002,-5.674,3
Q8TCT7,-5.686,-5.666,-5.665,-5.67,0.01,-5.686,3
P39019,-5.674,-5.664,-5.667,-5.67,0.004,-5.674,3
P42285,-5.679,-5.665,-5.67,-5.67,0.006,-5.679,3
Q7RTX1,-5.671,-5.667,-5.674,-5.67,0.003,-5.674,3
P54920,-5.63,-5.644,-5.636,-5.64,0.006,-5.644,3
P38646,-5.625,-5.641,-5.629,-5.63,0.007,-5.641,3
Q9BQA1,-5.634,-5.637,-5.627,-5.63,0.004,-5.637,3
Q8TDM6,-5.635,-5.628,-5.625,-5.63,0.004,-5.635,3
O00231,-5.735,-5.578,-5.562,-5.62,0.078,-5.735,3
P04271,-5.63,-5.622,-5.612,-5.62,0.007,-5.63,3
O76075,-5.616,-5.62,-5.611,-5.62,0.004,-5.62,3
P33947,-5.62,-5.62,-5.577,-5.61,0.02,-5.62,3
P49756,-5.613,-5.659,-5.572,-5.61,0.036,-5.659,3
Q15370,-5.597,-5.614,-5.606,-5.61,0.007,-5.614,3
Q93077,-5.613,-5.612,-5.613,-5.61,0.0,-5.613,3
P35244,-5.625,-5.585,-5.588,-5.6,0.018,-5.625,3
Q6WCQ1,-5.768,-5.489,-5.542,-5.6,0.121,-5.768,3
Q14587,-5.589,-5.591,-5.603,-5.59,0.006,-5.603,3
Q76N89,-5.577,-5.579,-5.564,-5.57,0.007,-5.579,3
Q9UK39,-5.584,-5.615,-5.509,-5.57,0.044,-5.615,3
P35606,-5.566,-5.553,-5.575,-5.56,0.009,-5.575,3
Q9UNQ2,-5.591,-5.495,-5.564,-5.55,0.04,-5.591,3
P26368,-5.533,-5.523,-5.59,-5.55,0.03,-5.59,3
Q9H0S4,-5.542,-5.546,-5.546,-5.54,0.002,-5.546,3
P23528,-5.532,-5.526,-5.533,-5.53,0.003,-5.533,3
P06132,-5.582,-5.498,-5.505,-5.53,0.038,-5.582,3
P52594,-5.525,-5.528,-5.53,-5.53,0.002,-5.53,3
Q14186,-5.679,-5.202,-5.674,-5.52,0.224,-5.679,3
Q8TF42,-5.563,-5.572,-5.384,-5.51,0.087,-5.572,3
Q92485,-5.518,-5.505,-5.514,-5.51,0.005,-5.518,3
P49591,-5.49,-5.499,-5.483,-5.49,0.007,-5.499,3
P02766,-5.444,-5.568,-5.45,-5.49,0.057,-5.568,3
P05111,-5.509,-5.505,-5.42,-5.48,0.041,-5.509,3
Q9UBU9,-5.515,-5.445,-5.493,-5.48,0.029,-5.515,3
P61970,-5.471,-5.476,-5.467,-5.47,0.004,-5.476,3
O96009,-5.482,-5.466,-5.472,-5.47,0.007,-5.482,3
P04632,-5.478,-5.49,-5.454,-5.47,0.015,-5.49,3
Q9Y547,-5.467,-5.475,-5.465,-5.47,0.004,-5.475,3
O95218,-5.469,-5.457,-5.465,-5.46,0.005,-5.469,3
Q9H944,-5.445,-5.471,-5.467,-5.46,0.011,-5.471,3
P21283,-5.443,-5.47,-5.456,-5.46,0.011,-5.47,3
Q9NQS7,-5.45,-5.46,-5.448,-5.45,0.005,-5.46,3
P09429,-5.447,-5.438,-5.433,-5.44,0.006,-5.447,3
Q13702,-5.436,-5.442,-5.442,-5.44,0.003,-5.442,3
Q9Y2R2,-5.449,-5.409,-5.471,-5.44,0.026,-5.471,3
Q8IUN9,-5.424,-5.414,-5.456,-5.43,0.018,-5.456,3
Q8N878,-5.415,-5.426,-5.418,-5.42,0.005,-5.426,3
Q96CW1,-5.432,-5.415,-5.419,-5.42,0.007,-5.432,3
P55081,-5.694,-5.267,-5.281,-5.41,0.198,-5.694,3
P56559,-5.422,-5.396,-5.389,-5.4,0.014,-5.422,3
Q96TA2,-5.401,-5.371,-5.413,-5.4,0.018,-5.413,3
P63279,-5.385,-5.386,-5.389,-5.39,0.002,-5.389,3
Q96EY1,-5.387,-5.364,-5.377,-5.38,0.009,-5.387,3
Q01167,-5.418,-5.316,-5.41,-5.38,0.046,-5.418,3
Q9H257,-5.401,-5.327,-5.381,-5.37,0.031,-5.401,3
Q16619,-5.36,-5.379,-5.363,-5.37,0.008,-5.379,3
P0CG47,-5.445,-5.224,-5.452,-5.37,0.106,-5.452,3
P01583,-5.367,-5.376,-5.374,-5.37,0.004,-5.376,3
Q86VM9,-5.363,-5.375,-5.333,-5.36,0.018,-5.375,3
O75352,-5.331,-5.349,-5.366,-5.35,0.014,-5.366,3
P52272,-5.323,-5.369,-5.347,-5.35,0.019,-5.369,3
Q4G0N8,-5.345,-5.308,-5.37,-5.34,0.025,-5.37,3
P02810,-5.37,-5.348,-5.276,-5.33,0.04,-5.37,3
Q99633,-5.337,-5.325,-5.33,-5.33,0.005,-5.337,3
Q13435,-5.302,-5.298,-5.366,-5.32,0.031,-5.366,3
Q7Z7J9,-5.302,-5.302,-5.312,-5.31,0.005,-5.312,3
Q6P1N0,-5.346,-5.33,-5.241,-5.31,0.046,-5.346,3
P62851,-5.385,-5.065,-5.425,-5.29,0.161,-5.425,3
Q14585,-5.281,-5.282,-5.305,-5.29,0.011,-5.305,3
Q9H4I2,-5.288,-5.282,-5.303,-5.29,0.009,-5.303,3
Q96QS6,-5.278,-5.292,-5.281,-5.28,0.006,-5.292,3
Q15040,-5.27,-5.291,-5.272,-5.28,0.009,-5.291,3
Q6ZSI9,-5.278,-5.295,-5.271,-5.28,0.01,-5.295,3
P63244,-5.234,-5.274,-5.298,-5.27,0.026,-5.298,3
Q15648,-5.272,-5.249,-5.264,-5.26,0.01,-5.272,3
O95243,-5.288,-5.178,-5.271,-5.25,0.048,-5.288,3
P84090,-5.236,-5.248,-5.238,-5.24,0.005,-5.248,3
Q14978,-5.213,-5.245,-5.222,-5.23,0.013,-5.245,3
Q9Y5H5,-5.213,-5.23,-5.206,-5.22,0.01,-5.23,3
P35503,-5.234,-5.227,-5.208,-5.22,0.011,-5.234,3
Q86V81,-5.218,-5.202,-5.212,-5.21,0.007,-5.218,3
P23396,-5.217,-5.193,-5.21,-5.21,0.01,-5.217,3
P35232,-5.191,-5.189,-5.192,-5.19,0.001,-5.192,3
Q9BXI2,-5.182,-5.195,-5.202,-5.19,0.008,-5.202,3
Q9ULX5,-5.107,-5.209,-5.219,-5.18,0.051,-5.219,3
P62826,-5.122,-5.313,-5.08,-5.17,0.101,-5.313,3
O14745,-5.159,-5.193,-5.167,-5.17,0.015,-5.193,3
Q9NWA0,-5.142,-5.152,-5.16,-5.15,0.007,-5.16,3
P09629,-5.133,-5.13,-5.15,-5.14,0.009,-5.15,3
Q86YE8,-5.108,-5.139,-5.14,-5.13,0.015,-5.14,3
P55769,-5.139,-5.126,-5.129,-5.13,0.006,-5.139,3
P61244,-5.108,-5.118,-5.152,-5.13,0.019,-5.152,3
P04179,-5.082,-5.113,-5.096,-5.1,0.013,-5.113,3
P51610,-5.092,-5.089,-5.092,-5.09,0.001,-5.092,3
P61978,-5.089,-5.076,-5.107,-5.09,0.013,-5.107,3
Q8WUB2,-5.074,-5.059,-5.07,-5.07,0.006,-5.074,3
Q96LB4,-5.065,-5.065,-5.084,-5.07,0.009,-5.084,3
Q13404,-5.057,-5.056,-5.048,-5.05,0.004,-5.057,3
Q15435,-4.943,-5.24,-4.981,-5.05,0.132,-5.24,3
Q15363,-5.046,-5.041,-5.031,-5.04,0.006,-5.046,3
Q14919,-5.037,-5.014,-5.056,-5.04,0.017,-5.056,3
Q15428,-5.039,-5.04,-5.021,-5.03,0.009,-5.04,3
Q9Y6A5,-5.014,-5.017,-5.014,-5.02,0.001,-5.017,3
Q14623,-5.03,-5.012,-5.01,-5.02,0.009,-5.03,3
Q92844,-5.019,-5.01,-5.014,-5.01,0.004,-5.019,3
Q99795,-4.974,-4.978,-5.045,-5.0,0.033,-5.045,3
O60784,-4.951,-4.96,-4.947,-4.95,0.005,-4.96,3
P46783,-4.718,-4.89,-5.214,-4.94,0.206,-5.214,3
P62273,-4.926,-4.926,-4.926,-4.93,0.0,-4.926,3
Q7RTV0,-4.911,-4.901,-4.905,-4.91,0.004,-4.911,3
Q16629,-4.908,-4.893,-4.894,-4.9,0.007,-4.908,3
O95944,-4.862,-4.915,-4.924,-4.9,0.027,-4.924,3
A8K7I4,-4.872,-4.892,-4.947,-4.9,0.032,-4.947,3
Q14008,-4.601,-5.035,-5.022,-4.89,0.202,-5.035,3
P0DW28,-4.887,-4.887,-4.878,-4.88,0.004,-4.887,3
P29374,-4.883,-4.874,-4.867,-4.87,0.007,-4.883,3
P10242,-4.854,-4.854,-4.859,-4.86,0.002,-4.859,3
Q96EQ8,-4.853,-4.854,-4.842,-4.85,0.005,-4.854,3
Q9BQE5,-4.837,-4.845,-4.827,-4.84,0.007,-4.845,3
P10809,-4.841,-4.853,-4.833,-4.84,0.008,-4.853,3
Q99550,-4.826,-4.846,-4.818,-4.83,0.012,-4.846,3
Q14498,-4.712,-4.836,-4.918,-4.82,0.085,-4.918,3
P29377,-4.756,-4.759,-4.767,-4.76,0.005,-4.767,3
Q07955,-4.628,-4.638,-4.943,-4.74,0.146,-4.943,3
Q9Y286,-4.732,-4.744,-4.741,-4.74,0.005,-4.744,3
A0A8I5KQE6,-4.711,-4.721,-4.713,-4.72,0.004,-4.721,3
P04155,-4.717,-4.706,-4.726,-4.72,0.008,-4.726,3
Q5T200,-4.768,-4.712,-4.647,-4.71,0.049,-4.768,3
Q52LR7,-4.428,-4.789,-4.812,-4.68,0.176,-4.812,3
Q9NYQ6,-4.521,-5.008,-4.493,-4.67,0.236,-5.008,3
P63218,-4.65,-4.659,-4.671,-4.66,0.009,-4.671,3
Q6ZVN7,-4.582,-4.584,-4.555,-4.57,0.013,-4.584,3
P62753,-4.544,-4.546,-4.555,-4.55,0.005,-4.555,3
O60841,-4.551,-4.543,-4.517,-4.54,0.015,-4.551,3
Q06265,-4.475,-4.468,-4.632,-4.52,0.076,-4.632,3
Q9BUA6,-4.533,-4.508,-4.521,-4.52,0.01,-4.533,3
P19013,-4.485,-4.518,-4.497,-4.5,0.014,-4.518,3
Q15287,-4.461,-4.452,-4.457,-4.46,0.004,-4.461,3
Q9Y224,-4.452,-4.448,-4.445,-4.45,0.003,-4.452,3
O14503,-4.401,-4.408,-4.436,-4.42,0.015,-4.436,3
P62701,-4.472,-4.279,-4.485,-4.41,0.094,-4.485,3
P60896,-4.338,-4.328,-4.571,-4.41,0.112,-4.571,3
Q04741,-4.404,-4.399,-4.39,-4.4,0.006,-4.404,3
P07910,-4.383,-4.389,-4.39,-4.39,0.003,-4.39,3
Q05682,-4.214,-4.428,-4.415,-4.35,0.098,-4.428,3
Q9UKM9,-4.33,-4.338,-4.342,-4.34,0.005,-4.342,3
Q96JN0,-4.319,-4.312,-4.314,-4.32,0.003,-4.319,3
P04216,-4.257,-4.254,-4.256,-4.26,0.001,-4.257,3
E9PAV3,-4.228,-4.211,-4.224,-4.22,0.007,-4.228,3
Q5FBB7,-4.168,-4.154,-4.18,-4.17,0.011,-4.18,3
Q9H307,-4.034,-4.052,-4.081,-4.06,0.019,-4.081,3
Q96EV8,-4.03,-4.029,-4.031,-4.03,0.001,-4.031,3
P12524,-4.234,-3.93,-3.939,-4.03,0.141,-4.234,3
P43034,-3.986,-4.133,-3.853,-3.99,0.114,-4.133,3
P55287,-3.947,-3.934,-3.948,-3.94,0.006,-3.948,3
Q8NFW8,-3.931,-3.944,-3.915,-3.93,0.012,-3.944,3
P08754,-3.295,-3.446,-3.689,-3.48,0.162,-3.689,3
P98175,-3.466,-3.467,-3.469,-3.47,0.001,-3.469,3
Q01518,-1.629,-1.645,-1.631,-1.64,0.007,-1.645,3
Q15833,2.189,2.172,2.204,2.19,0.013,2.172,3
P11474,3.417,3.44,3.413,3.42,0.012,3.413,3
Q5TDH0,4.234,4.252,4.212,4.23,0.016,4.212,3
P47224,5.177,5.17,5.236,5.19,0.03,5.17,3
Q8WWZ1,7.204,7.166,7.154,7.17,0.021,7.154,3
